ID	SMG9	DDX49	NR2C2AP	BSG	OIT3	TPM2	nomoscore	Type
TCGA-CC-A7IE-01A-21R-A38B-07	0.948459646	1.439269211	1.484089257	3.323923225	2.473163364	3.078918184	17.44212513	Tumor
TCGA-BC-A10X-01A-11R-A131-07	0.210398726	0.828685766	0.580468033	1.094937994	5.228930822	2.446268744	-0.524452504	Tumor
TCGA-CC-5260-01A-01R-A131-07	1.01550393	0.909904489	1.965737448	2.60662962	0.068670656	2.931757296	20.95546594	Tumor
TCGA-DD-A11B-01A-11R-A131-07	0.370060081	1.334595004	0.913157828	0.9517648	3.570689267	0.763170432	0.800506267	Tumor
TCGA-CC-5261-01A-01R-A131-07	1.272709067	1.234028908	1.463134355	2.847548857	2.310864891	2.530912624	15.38470232	Tumor
TCGA-BC-A10Q-01A-11R-A131-07	1.442797175	1.411003779	1.705526945	2.359029825	0.089757369	2.394241444	18.83478497	Tumor
TCGA-DD-AAW2-01A-11R-A41C-07	0.033378684	1.134140558	1.362967032	1.598366459	2.335659339	1.897891024	8.451742804	Tumor
TCGA-MI-A75H-01A-11R-A32O-07	0.767735335	1.852736023	1.482159347	1.766498669	2.206734519	2.314337187	10.16364084	Tumor
TCGA-DD-AACN-01A-11R-A41C-07	0.551679868	1.657478656	1.81994538	1.811662389	3.585995587	1.965941748	6.819600413	Tumor
TCGA-2Y-A9GU-01A-11R-A38B-07	1.343674635	2.343787422	0.886298429	1.686352272	3.245852252	1.670307669	5.863709781	Tumor
